"Genus","crc_pos","crc_neg","other_pos","other_neg","p_value"
"Barnavirus",0,189,0,1858,1
"Barnyardlikevirus",0,189,0,1858,1
"Basilea",0,189,0,1858,1
"Bastillevirus",0,189,0,1858,1
"Batrachovirus",0,189,0,1858,1
"Batravirus",0,189,0,1858,1
"Bcep22likevirus",0,189,0,1858,1
"Bcep78likevirus",0,189,0,1858,1
"Bdellomicrovirus",0,189,0,1858,1
"Bdellovibrio",1,188,15,1843,1
"Beecentumtrevirus",0,189,0,1858,1
"Beggiatoa",0,189,0,1858,1
"Begomovirus",0,189,0,1858,1
"Belliella",0,189,0,1858,1
"Bellilinea",0,189,0,1858,1
"Belnapia",0,189,0,1858,1
"Bendigovirus",0,189,0,1858,1
"Benyvirus",0,189,0,1858,1
"Beograduvirus",0,189,0,1858,1
"Bequatrovirus",0,189,0,1858,1
"Berhavirus",0,189,0,1858,1
"Berlinvirus",0,189,0,1858,1
"Bermanella",0,189,0,1858,1
"Bernalvirus",0,189,0,1858,1
"Bernardetia",0,189,0,1858,1
"Berryella",0,189,8,1850,1
"Bertelyvirus",0,189,0,1858,1
"Besingivirus",0,189,0,1858,1
"Betabaculovirus",0,189,0,1858,1
"Betachrysovirus",0,189,0,1858,1
"Betacoronavirus",0,189,0,1858,1
"Betadintovirus",0,189,0,1858,1
"Betaentomopoxvirus",0,189,0,1858,1
"Betafusarivirus",0,189,0,1858,1
"Betafusellovirus",0,189,0,1858,1
"Betahypovirus",0,189,0,1858,1
"Betalipothrixvirus",0,189,0,1858,1
"Betanucleorhabdovirus",0,189,0,1858,1
"Betanudivirus",0,189,0,1858,1
"Betapapillomavirus",0,189,0,1858,1
"Betapolyomavirus",0,189,1,1857,1
"Betaretrovirus",0,189,0,1858,1
"Betasatellite",0,189,0,1858,1
"Betatorquevirus",0,189,0,1858,1
"Betayadokarivirus",0,189,0,1858,1
"Bhargavaea",0,189,0,1858,1
"Bibersteinia",0,189,1,1857,1
"Bicaudavirus",0,189,0,1858,1
"Bignuzlikevirus",0,189,0,1858,1
"Bignuzvirus",0,189,0,1858,1
"Bilophila",0,189,0,1858,1
"Bingvirus",0,189,0,1858,1
"Birpovirus",0,189,0,1858,1
"Bisgaardia",0,189,0,1858,1
"Bixzunavirus",0,189,0,1858,1
"Bizionia",0,189,0,1858,1
"Blastopirellula",0,189,0,1858,1
"Blohavirus",0,189,0,1858,1
"Blunervirus",0,189,0,1858,1
"Bocaparvovirus",0,189,0,1858,1
"Bohxovirus",0,189,0,1858,1
"Bongovirus",0,189,0,1858,1
"Bonnellvirus",0,189,0,1858,1
"Bornavirus",0,189,0,1858,1
"Borrelia",0,189,1,1857,1
"Borreliella",0,189,2,1856,1
"Bosavirus",0,189,0,1858,1
"Bossavirus",0,189,0,1858,1
"Botrexvirus",0,189,0,1858,1
"Botrytimonavirus",0,189,0,1858,1
"Bottigliavirus",0,189,0,1858,1
"Boudabousia",0,189,0,1858,1
"Bowservirus",0,189,0,1858,1
"Bppunalikevirus",0,189,0,1858,1
"Brachymonas",0,189,0,1858,1
"Brachyspira",1,188,9,1849,1
"Brackiella",0,189,0,1858,1
"Bracoviriform",0,189,0,1858,1
"Bracovirus",0,189,0,1858,1
"Bradymonas",0,189,0,1858,1
"Bremerella",0,189,0,1858,1
"Brevefilum",0,189,0,1858,1
"Brevidensovirus",0,189,0,1858,1
"Breznakiella",0,189,5,1853,1
"Bromovirus",0,189,0,1858,1
"Bronlikevirus",0,189,0,1858,1
"Brooklawnia",0,189,1,1857,1
"Brussowvirus",0,189,0,1858,1
"Bryobacter",0,189,0,1858,1
"Buhlduvirus",0,189,0,1858,1
"Buorbuivirus",0,189,0,1858,1
"Burrovirus",0,189,0,1858,1
"Butyricicoccus",0,189,0,1858,1
"Bymovirus",0,189,0,1858,1
"C2likevirus",0,189,0,1858,1
"C5likevirus",0,189,0,1858,1
"Caballeronia",4,185,42,1816,1
"Cacepaovirus",0,189,0,1858,1
"Caedibacter",0,189,0,1858,1
"Caelumvirus",0,189,0,1858,1
"Caenimonas",0,189,0,1858,1
"Caenispirillum",0,189,0,1858,1
"Caeruleovirus",0,189,0,1858,1
"Cafeteriavirus",0,189,0,1858,1
"Caldalkalibacillus",0,189,0,1858,1
"Caldanaerobacter",0,189,0,1858,1
"Caldanaerobius",0,189,0,1858,1
"Caldibacillus",0,189,1,1857,1
"Caldichromatium",0,189,2,1856,1
"Caldicoprobacter",0,189,0,1858,1
"Caldilinea",0,189,0,1858,1
"Caldimicrobium",0,189,0,1858,1
"Caldimonas",6,183,58,1800,1
"Caldisericum",0,189,0,1858,1
"Caldisphaera",0,189,0,1858,1
"Calditerrivibrio",0,189,1,1857,1
"Caldithrix",0,189,1,1857,1
"Caldivirga",0,189,0,1858,1
"Callevirus",0,189,0,1858,1
"Caloramator",0,189,5,1853,1
"Caloranaerobacter",0,189,2,1856,1
"Caminibacter",0,189,0,1858,1
"Campanilevirus",0,189,0,1858,1
"Camvirus",0,189,0,1858,1
"Candidatus_Accumulibacter",0,189,0,1858,1
"Candidatus_Amoebophilus",0,189,0,1858,1
"Candidatus_Aquiluna",0,189,0,1858,1
"Candidatus_Arthromitus",0,189,0,1858,1
"Candidatus_Atelocyanobacterium",0,189,0,1858,1
"Candidatus_Azobacteroides",0,189,0,1858,1
"Candidatus_Babela",0,189,0,1858,1
"Candidatus_Blochmannia",0,189,0,1858,1
"Candidatus_Brocadia",0,189,0,1858,1
"Candidatus_Cardinium",0,189,0,1858,1
"Candidatus_Cloacimonas",0,189,0,1858,1
"Candidatus_Competibacter",0,189,0,1858,1
"Candidatus_Contendobacter",0,189,0,1858,1
"Candidatus_Desulforudis",0,189,0,1858,1
"Candidatus_Endolissoclinum",0,189,0,1858,1
"Candidatus_Evansia",0,189,0,1858,1
"Candidatus_Glomeribacter",0,189,0,1858,1
"Candidatus_Halobonum",0,189,0,1858,1
"Candidatus_Hamiltonella",0,189,0,1858,1
"Candidatus_Hepatobacter",0,189,0,1858,1
"Candidatus_Ishikawaella",0,189,0,1858,1
"Candidatus_Jettenia",0,189,0,1858,1
"Candidatus_Korarchaeum",0,189,0,1858,1
"Candidatus_Koribacter",0,189,0,1858,1
"Candidatus_Liberibacter",0,189,0,1858,1
"Candidatus_Magnetobacterium",0,189,0,1858,1
"Candidatus_Methanomethylophilus",0,189,0,1858,1
"Candidatus_Methanoperedens",0,189,0,1858,1
"Candidatus_Methanoplasma",0,189,0,1858,1
"Candidatus_Methylopumilus",0,189,0,1858,1
"Candidatus_Microthrix",0,189,0,1858,1
"Candidatus_Midichloria",0,189,0,1858,1
"Candidatus_Moranella",0,189,0,1858,1
"Candidatus_Nasuia",0,189,0,1858,1
"Candidatus_Neoehrlichia",0,189,0,1858,1
"Candidatus_Nitrosoarchaeum",0,189,0,1858,1
"Candidatus_Nitrosocosmicus",0,189,0,1858,1
"Candidatus_Nitrosopelagicus",0,189,0,1858,1
"Candidatus_Nitrosotenuis",0,189,0,1858,1
"Candidatus_Odyssella",0,189,0,1858,1
"Candidatus_Paracaedibacter",0,189,0,1858,1
"Candidatus_Pelagibacter",0,189,0,1858,1
"Candidatus_Phaeomarinobacter",0,189,0,1858,1
"Candidatus_Photodesmus",0,189,0,1858,1
"Candidatus_Phytoplasma",0,189,0,1858,1
"Candidatus_Portiera",0,189,0,1858,1
"Candidatus_Profftella",0,189,0,1858,1
"Candidatus_Protochlamydia",0,189,0,1858,1
"Candidatus_Puniceispirillum",0,189,0,1858,1
"Candidatus_Regiella",0,189,0,1858,1
"Candidatus_Riesia",0,189,0,1858,1
"Candidatus_Ruthia",0,189,0,1858,1
"Candidatus_Schmidhempelia",0,189,0,1858,1
"Candidatus_Soleaferrea",0,189,0,1858,1
"Candidatus_Solibacter",0,189,0,1858,1
"Candidatus_Stoquefichus",0,189,0,1858,1
"Candidatus_Sulcia",0,189,0,1858,1
"Candidatus_Symbiobacter",0,189,0,1858,1
"Candidatus_Tachikawaea",0,189,0,1858,1
"Candidatus_Xiphinematobacter",0,189,0,1858,1
"Candidatus.Absconditicoccus",0,189,1,1857,1
"Candidatus.Amoebophilus",0,189,0,1858,1
"Candidatus.Arcticimaribacter",0,189,1,1857,1
"Candidatus.Arthromitus",0,189,1,1857,1
"Candidatus.Atelocyanobacterium",0,189,2,1856,1
"Candidatus.Azoamicus",0,189,0,1858,1
"Candidatus.Azobacteroides",0,189,0,1858,1
"Candidatus.Babela",0,189,0,1858,1
"Candidatus.Bandiella",0,189,0,1858,1
"Candidatus.Baumannia",0,189,0,1858,1
"Candidatus.Bipolaricaulis",0,189,0,1858,1
"Candidatus.Cardinium",0,189,1,1857,1
"Candidatus.Chazhemtobacterium",0,189,0,1858,1
"Candidatus.Chromulinivorax",0,189,0,1858,1
"Candidatus.Cloacimonas",0,189,2,1856,1
"Candidatus.Comchoanobacter",0,189,0,1858,1
"Candidatus.Contubernalis",0,189,0,1858,1
"Candidatus.Cytomitobacter",0,189,0,1858,1
"Candidatus.Desulforudis",0,189,2,1856,1
"Candidatus.Doolittlea",0,189,0,1858,1
"Candidatus.Endolissoclinum",0,189,0,1858,1
"Candidatus.Endoriftia",0,189,1,1857,1
"Candidatus.Fervidibacter",0,189,1,1857,1
"Candidatus.Fokinia",0,189,1,1857,1
"Candidatus.Fonsibacter",0,189,0,1858,1
"Candidatus.Formimonas",0,189,2,1856,1
"Candidatus.Fukatsuia",0,189,0,1858,1
"Candidatus.Gromoviella",0,189,0,1858,1
"Candidatus.Gullanella",0,189,0,1858,1
"Candidatus.Hamiltonella",0,189,0,1858,1
"Candidatus.Hepatoplasma",0,189,0,1858,1
"Candidatus.Hoaglandella",0,189,0,1858,1
"Candidatus.Hydrogenosomobacter",0,189,2,1856,1
"Candidatus.Ishikawaella",0,189,0,1858,1
"Candidatus.Kinetoplastibacterium",0,189,2,1856,1
"Candidatus.Korarchaeum",0,189,0,1858,1
"Candidatus.Kuenenia",0,189,0,1858,1
"Candidatus.Mancarchaeum",0,189,0,1858,1
"Candidatus.Methanoliparum",0,189,0,1858,1
"Candidatus.Methanoplasma",0,189,0,1858,1
"Candidatus.Methylopumilus",0,189,0,1858,1
"Candidatus.Methylospira",0,189,0,1858,1
"Candidatus.Micrarchaeum",0,189,0,1858,1
"Candidatus.Midichloria",0,189,0,1858,1
"Candidatus.Mikella",0,189,0,1858,1
"Candidatus.Moranella",0,189,0,1858,1
"Candidatus.Mycosynbacter",0,189,0,1858,1
"Candidatus.Nanohalobium",0,189,0,1858,1
"Candidatus.Nanopelagicus",0,189,0,1858,1
"Candidatus.Neoehrlichia",0,189,0,1858,1
"Candidatus.Nesciobacter",0,189,0,1858,1
"Candidatus.Nitrosacidococcus",0,189,0,1858,1
"Candidatus.Nitrosocaldus",0,189,0,1858,1
"Candidatus.Nitrosocosmicus",0,189,0,1858,1
"Candidatus.Nitrosoglobus",0,189,0,1858,1
"Candidatus.Nitrosomarinus",0,189,0,1858,1
"Candidatus.Nitrosopelagicus",0,189,0,1858,1
"Candidatus.Nitrosotenuis",0,189,0,1858,1
"Candidatus.Nitrotoga",0,189,1,1857,1
"Candidatus.Nucleicultrix",0,189,0,1858,1
"Candidatus.Paracaedibacter",0,189,0,1858,1
"Candidatus.Pelagibacter",0,189,0,1858,1
"Candidatus.Phycorickettsia",0,189,1,1857,1
"Candidatus.Planktophila",0,189,1,1857,1
"Candidatus.Portiera",0,189,0,1858,1
"Candidatus.Profftella",0,189,0,1858,1
"Candidatus.Profftia",0,189,0,1858,1
"Candidatus.Prometheoarchaeum",0,189,0,1858,1
"Candidatus.Promineifilum",0,189,1,1857,1
"Candidatus.Protochlamydia",0,189,0,1858,1
"Candidatus.Pseudothioglobus",0,189,0,1858,1
"Candidatus.Puniceispirillum",0,189,0,1858,1
"Candidatus.Reidiella",0,189,0,1858,1
"Candidatus.Rhabdochlamydia",0,189,0,1858,1
"Candidatus.Riesia",0,189,0,1858,1
"Candidatus.Ruthturnera",0,189,0,1858,1
"Candidatus.Saccharimonas",0,189,0,1858,1
"Candidatus.Schneideria",0,189,0,1858,1
"Candidatus.Steffania",0,189,0,1858,1
"Candidatus.Sulfidibacterium",0,189,2,1856,1
"Candidatus.Syntrophocurvum",0,189,0,1858,1
"Candidatus.Tachikawaea",0,189,0,1858,1
"Candidatus.Thioglobus",0,189,0,1858,1
"Candidatus.Uabimicrobium",0,189,0,1858,1
"Candidatus.Vallotia",0,189,1,1857,1
"Candidatus.Velamenicoccus",0,189,1,1857,1
"Candidatus.Vesicomyosocius",0,189,0,1858,1
"Candidatus.Viadribacter",0,189,2,1856,1
"Candidatus.Walczuchella",0,189,1,1857,1
"Candidatus.Westeberhardia",0,189,0,1858,1
"Candidatus.Xiphinematobacter",0,189,0,1858,1
"Capillimicrobium",0,189,2,1856,1
"Capillovirus",0,189,0,1858,1
"Capripoxvirus",0,189,0,1858,1
"Capsulimonas",0,189,7,1851,1
"Captovirus",0,189,0,1858,1
"Capulavirus",0,189,0,1858,1
"Carboxydocella",0,189,1,1857,1
"Carboxydothermus",0,189,0,1858,1
"Cardiovirus",0,189,0,1858,1
"Carlavirus",0,189,0,1858,1
"Carltongylesvirus",0,189,0,1858,1
"Carmovirus",0,189,0,1858,1
"Carnimonas",0,189,0,1858,1
"Caroctavirus",0,189,0,1858,1
"Casadabanvirus",0,189,0,1858,1
"Casaltella",0,189,0,1858,1
"Catabacter",0,189,0,1858,1
"Catalinimonas",0,189,0,1858,1
"Catellatospora",0,189,0,1858,1
"Catellicoccus",0,189,0,1858,1
"Catelliglobosispora",0,189,0,1858,1
"Catenovulum",0,189,1,1857,1
"Catenulispora",0,189,0,1858,1
"Catenuloplanes",0,189,0,1858,1
"Catonella",0,189,0,1858,1
"Caulimovirus",0,189,0,1858,1
"Cavemovirus",0,189,0,1858,1
"Cbastvirus",0,189,0,1858,1
"Cbunavirus",0,189,0,1858,1
"Cecembia",0,189,0,1858,1
"Cecivirus",0,189,0,1858,1
"Ceduovirus",0,189,2,1856,1
"Ceetrepovirus",0,189,0,1858,1
"Celerinatantimonas",0,189,0,1858,1
"Cellubavirus",0,189,0,1858,1
"Centapoxvirus",0,189,0,1858,1
"Centipeda",0,189,0,1858,1
"Cephaloticoccus",0,189,0,1858,1
"Cepunavirus",0,189,0,1858,1
"Cequinquevirus",0,189,0,1858,1
"Certrevirus",0,189,0,1858,1
"Cervidpoxvirus",0,189,0,1858,1
"Cesiribacter",0,189,0,1858,1
"Cetobacterium",0,189,2,1856,1
"Chakrabartyvirus",0,189,0,1858,1
"Chamaesiphon",0,189,0,1858,1
"Changchengzhania",0,189,0,1858,1
"Changpingibacter",0,189,0,1858,1
"Chania",0,189,1,1857,1
"Chaphamaparvovirus",0,189,0,1858,1
"Charlielikevirus",0,189,0,1858,1
"Charlievirus",0,189,0,1858,1
"Charybdisvirus",0,189,0,1858,1
"Che8likevirus",0,189,0,1858,1
"Che9clikevirus",0,189,0,1858,1
"Chelonobacter",0,189,0,1858,1
"Chenonavirus",0,189,0,1858,1
"Cheoctovirus",0,189,0,1858,1
"Cheravirus",0,189,0,1858,1
"Chiangmaivirus",0,189,0,1858,1
"Chilikevirus",0,189,0,1858,1
"Chirohepevirus",0,189,0,1858,1
"Chitinilyticum",0,189,0,1858,1
"Chitiniphilus",0,189,7,1851,1
"Chitinispirillum",0,189,0,1858,1
"Chitinivibrio",0,189,0,1858,1
"Chitorquevirus",0,189,0,1858,1
"Chivirus",0,189,1,1857,1
"Chlamydia",0,189,0,1858,1
"Chlamydiifrater",0,189,1,1857,1
"Chloracidobacterium",0,189,1,1857,1
"Chloriridovirus",0,189,0,1858,1
"Chlorobium",0,189,2,1856,1
"Chloroflexus",0,189,2,1856,1
"Chlorogloeopsis",0,189,0,1858,1
"Chlorovirus",0,189,0,1858,1
"Chondrinema",0,189,0,1858,1
"Chondrocystis",0,189,0,1858,1
"Chondromyces",0,189,2,1856,1
"Chopinvirus",0,189,0,1858,1
"Chroococcidiopsis",0,189,0,1858,1
"Chryseolinea",0,189,1,1857,1
"Chrysiogenes",0,189,0,1858,1
"Chrysovirus",0,189,0,1858,1
"Chthoniobacter",0,189,0,1858,1
"Chthonomonas",0,189,0,1858,1
"Chuhaivirus",0,189,0,1858,1
"Chunghsingvirus",0,189,0,1858,1
"Ciceribacter",0,189,8,1850,1
"Cilevirus",0,189,0,1858,1
"Cimandefvirus",0,189,0,1858,1
"Circovirus",0,189,0,1858,1
"Citreicella",0,189,0,1858,1
"Citrifermentans",0,189,2,1856,1
"Cjwunalikevirus",0,189,0,1858,1
"Claudivirus",0,189,0,1858,1
"Clecrusatellite",0,189,0,1858,1
"Closterovirus",0,189,0,1858,1
"Cnuibacter",0,189,5,1853,1
"Cocadviroid",0,189,0,1858,1
"Coccolithovirus",0,189,0,1858,1
"Cognaticolwellia",0,189,0,1858,1
"Coguvirus",0,189,0,1858,1
"Colecusatellite",0,189,0,1858,1
"Coleofasciculus",0,189,0,1858,1
"Coleviroid",0,189,0,1858,1
"Colneyvirus",0,189,0,1858,1
"Colossusvirus",0,189,0,1858,1
"Coltivirus",0,189,0,1858,1
"Colwellia",0,189,1,1857,1
"Commensalibacter",0,189,1,1857,1
"Comovirus",0,189,0,1858,1
"Conexibacter",0,189,2,1856,1
"Conexivisphaera",0,189,0,1858,1
"Confluentimicrobium",0,189,0,1858,1
"Congregibacter",0,189,0,1858,1
"Constantimarinum",0,189,0,1858,1
"Coopervirus",0,189,0,1858,1
"Copernicusvirus",0,189,0,1858,1
"Copiparvovirus",0,189,0,1858,1
"Coprobacillus",0,189,0,1858,1
"Coprothermobacter",0,189,0,1858,1
"Coraliomargarita",0,189,0,1858,1
"Corallococcus",1,188,17,1841,1
"Coriobacterium",0,189,2,1856,1
"Corndoglikevirus",0,189,0,1858,1
"Cornellvirus",0,189,0,1858,1
"Corticovirus",0,189,0,1858,1
"Cosavirus",0,189,0,1858,1
"Cosenzaea",0,189,0,1858,1
"Costertonia",0,189,0,1858,1
"Couchioplanes",0,189,1,1857,1
"Coxiella",0,189,0,1858,1
"Cp220likevirus",0,189,0,1858,1
"Cp8unalikevirus",0,189,0,1858,1
"Crenobacter",0,189,0,1858,1
"Criblamydia",0,189,0,1858,1
"Crinalium",0,189,1,1857,1
"Crinivirus",0,189,0,1858,1
"Cripavirus",0,189,0,1858,1
"Croceibacter",0,189,0,1858,1
"Croceimicrobium",0,189,0,1858,1
"Croceitalea",0,189,0,1858,1
"Crocinitomix",0,189,0,1858,1
"Crocodylidpoxvirus",0,189,0,1858,1
"Crocosphaera",0,189,0,1858,1
"Crohivirus",0,189,0,1858,1
"Cronusvirus",0,189,0,1858,1
"Crossiella",0,189,0,1858,1
"Cryobacterium",0,189,8,1850,1
"Cryocola",0,189,0,1858,1
"Cryptosporangium",0,189,0,1858,1
"Cucumibacter",0,189,0,1858,1
"Cucumovirus",0,189,0,1858,1
"Culoivirus",0,189,0,1858,1
"Cuniculiplasma",0,189,0,1858,1
"Curtovirus",0,189,0,1858,1
"Cyanobacterium",0,189,0,1858,1
"Cyanobium",0,189,1,1857,1
"Cyanothece",0,189,0,1858,1
"Cybitervirus",0,189,0,1858,1
"Cyclobacterium",0,189,0,1858,1
"Cycloclasticus",0,189,0,1858,1
"Cyclonatronum",0,189,0,1858,1
"Cyclovirus",0,189,0,1858,1
"Cylindrospermopsis",0,189,0,1858,1
"Cylindrospermum",0,189,0,1858,1
"Cypovirus",0,189,0,1858,1
"Cyprinivirus",0,189,0,1858,1
"Cysteiniphilum",0,189,0,1858,1
"Cytomegalovirus",0,189,0,1858,1
"Cytophaga",0,189,0,1858,1
"Cytorhabdovirus",0,189,0,1858,1
"Cyvirus",0,189,1,1857,1
"D3likevirus",0,189,0,1858,1
"Dabirmavirus",0,189,0,1858,1
"Dactylococcopsis",0,189,0,1858,1
"Dasania",0,189,0,1858,1
"Dechshavirus",0,189,0,1858,1
"Deefgea",0,189,2,1856,1
"Deferribacter",0,189,0,1858,1
"Deferrisoma",0,189,0,1858,1
"Defluviimonas",0,189,0,1858,1
"Defluviitoga",0,189,0,1858,1
"Dehalobacter",0,189,0,1858,1
"Dehalobacterium",0,189,0,1858,1
"Dehalogenimonas",0,189,2,1856,1
"Delepquintavirus",0,189,0,1858,1
"Delmidovirus",0,189,0,1858,1
"Deltabaculovirus",0,189,0,1858,1
"Deltacoronavirus",0,189,0,1858,1
"Deltaentomopoxvirus",0,189,0,1858,1
"Deltaflexivirus",0,189,0,1858,1
"Deltalipothrixvirus",0,189,0,1858,1
"Deltanudivirus",0,189,0,1858,1
"Deltapapillomavirus",0,189,0,1858,1
"Deltapolyomavirus",0,189,0,1858,1
"Deltaretrovirus",0,189,0,1858,1
"Deltasatellite",0,189,0,1858,1
"Deltascleroulivirus",0,189,0,1858,1
"Delusorvirus",0,189,0,1858,1
"Demequina",0,189,0,1858,1
"Demetria",0,189,0,1858,1
"Demosthenesvirus",0,189,0,1858,1
"Dendoorenvirus",0,189,0,1858,1
"Denitrificimonas",0,189,2,1856,1
"Denitrovibrio",0,189,0,1858,1
"Denvervirus",0,189,0,1858,1
"Dependoparvovirus",0,189,0,1858,1
"Derbicusvirus",0,189,0,1858,1
"Dermatophilus",0,189,0,1858,1
"Derxia",0,189,0,1858,1
"Deseoctovirus",0,189,0,1858,1
"Desmospora",0,189,0,1858,1
"Desulfarculus",0,189,8,1850,1
"Desulfatibacillum",0,189,0,1858,1
"Desulfatiglans",0,189,0,1858,1
"Desulfatirhabdium",0,189,0,1858,1
"Desulfatitalea",0,189,0,1858,1
"Desulfitibacter",0,189,0,1858,1
"Desulfitobacterium",0,189,5,1853,1
"Desulfobacca",0,189,0,1858,1
"Desulfobacter",0,189,0,1858,1
"Desulfobacterium",0,189,0,1858,1
"Desulfobacula",0,189,0,1858,1
"Desulfobulbus",1,188,10,1848,1
"Desulfocapsa",0,189,1,1857,1
"Desulfocarbo",0,189,0,1858,1
"Desulfococcus",0,189,2,1856,1
"Desulfocurvus",0,189,0,1858,1
"Desulfofarcimen",0,189,1,1857,1
"Desulfofustis",0,189,1,1857,1
"Desulfoglaeba",0,189,0,1858,1
"Desulfohalobium",0,189,1,1857,1
"Desulfolithobacter",0,189,0,1858,1
"Desulfoluna",0,189,0,1858,1
"Desulfolutivibrio",0,189,2,1856,1
"Desulfomarina",0,189,0,1858,1
"Desulfomonile",0,189,0,1858,1
"Desulfonatronospira",0,189,0,1858,1
"Desulfonatronovibrio",0,189,0,1858,1
"Desulfonatronum",0,189,0,1858,1
"KnightID",189,0,1858,0,1
"primary_site",189,0,1858,0,1
"X3alikevirus",0,189,0,1858,1
