"Genus","crc_pos","crc_neg","other_pos","other_neg"
"Candidatus_Competibacter",0,189,0,1858
"Candidatus_Contendobacter",0,189,0,1858
"Candidatus_Desulforudis",0,189,0,1858
"Candidatus_Endolissoclinum",0,189,0,1858
"Candidatus_Evansia",0,189,0,1858
"Candidatus_Glomeribacter",0,189,0,1858
"Candidatus_Halobonum",0,189,0,1858
"Candidatus_Hamiltonella",0,189,0,1858
"Candidatus_Hepatobacter",0,189,0,1858
"Candidatus_Ishikawaella",0,189,0,1858
"Candidatus_Jettenia",0,189,0,1858
"Candidatus_Korarchaeum",0,189,0,1858
"Candidatus_Koribacter",0,189,0,1858
"Candidatus_Liberibacter",0,189,0,1858
"Candidatus_Magnetobacterium",0,189,0,1858
"Candidatus_Methanomethylophilus",0,189,0,1858
"Candidatus_Methanoperedens",0,189,0,1858
"Candidatus_Methanoplasma",0,189,0,1858
"Candidatus_Methylopumilus",0,189,0,1858
"Candidatus_Microthrix",0,189,0,1858
"Candidatus_Midichloria",0,189,0,1858
"Candidatus_Moranella",0,189,0,1858
"Candidatus_Nasuia",0,189,0,1858
"Candidatus_Neoehrlichia",0,189,0,1858
"Candidatus_Nitrosoarchaeum",0,189,0,1858
"Candidatus_Nitrosocosmicus",0,189,0,1858
"Candidatus_Nitrosopelagicus",0,189,0,1858
"Candidatus_Nitrosotenuis",0,189,0,1858
"Candidatus_Odyssella",0,189,0,1858
"Candidatus_Paracaedibacter",0,189,0,1858
"Candidatus_Pelagibacter",0,189,0,1858
"Candidatus_Phaeomarinobacter",0,189,0,1858
"Candidatus_Photodesmus",0,189,0,1858
"Candidatus_Phytoplasma",0,189,0,1858
"Candidatus_Portiera",0,189,0,1858
"Candidatus_Profftella",0,189,0,1858
"Candidatus_Protochlamydia",0,189,0,1858
"Candidatus_Puniceispirillum",0,189,0,1858
"Candidatus_Regiella",0,189,0,1858
"Candidatus_Riesia",0,189,0,1858
"Candidatus_Ruthia",0,189,0,1858
"Candidatus_Schmidhempelia",0,189,0,1858
"Candidatus_Soleaferrea",0,189,0,1858
"Candidatus_Solibacter",0,189,0,1858
"Candidatus_Stoquefichus",0,189,0,1858
"Candidatus_Sulcia",0,189,0,1858
"Candidatus_Symbiobacter",0,189,0,1858
"Candidatus_Tachikawaea",0,189,0,1858
"Candidatus_Xiphinematobacter",0,189,0,1858
"Candidatus.Absconditicoccus",0,189,1,1857
"Candidatus.Amoebophilus",0,189,0,1858
"Candidatus.Annandia",1,188,68,1790
"Candidatus.Arcticimaribacter",0,189,1,1857
"Candidatus.Arthromitus",0,189,1,1857
"Candidatus.Atelocyanobacterium",0,189,2,1856
"Candidatus.Azoamicus",0,189,0,1858
"Candidatus.Azobacteroides",0,189,0,1858
"Candidatus.Babela",0,189,0,1858
"Candidatus.Bandiella",0,189,0,1858
"Candidatus.Baumannia",0,189,0,1858
"Candidatus.Bipolaricaulis",0,189,0,1858
"Candidatus.Blochmannia",0,189,3,1855
"Candidatus.Cardinium",0,189,1,1857
"Candidatus.Carsonella",63,126,800,1058
"Candidatus.Chazhemtobacterium",0,189,0,1858
"Candidatus.Chromulinivorax",0,189,0,1858
"Candidatus.Cloacimonas",0,189,2,1856
"Candidatus.Comchoanobacter",0,189,0,1858
"Candidatus.Contubernalis",0,189,0,1858
"Candidatus.Cytomitobacter",0,189,0,1858
"Candidatus.Desulforudis",0,189,2,1856
"Candidatus.Doolittlea",0,189,0,1858
"Candidatus.Endolissoclinum",0,189,0,1858
"Candidatus.Endoriftia",0,189,1,1857
"Candidatus.Fervidibacter",0,189,1,1857
"Candidatus.Fokinia",0,189,1,1857
"Candidatus.Fonsibacter",0,189,0,1858
"Candidatus.Formimonas",0,189,2,1856
"Candidatus.Fukatsuia",0,189,0,1858
"Candidatus.Gromoviella",0,189,0,1858
"Candidatus.Gullanella",0,189,0,1858
"Candidatus.Hamiltonella",0,189,0,1858
"Candidatus.Hepatoplasma",0,189,0,1858
"Candidatus.Hoaglandella",0,189,0,1858
"Candidatus.Hydrogenosomobacter",0,189,2,1856
"Candidatus.Ishikawaella",0,189,0,1858
"Candidatus.Karelsulcia",39,150,398,1460
"Candidatus.Kinetoplastibacterium",0,189,2,1856
"Candidatus.Korarchaeum",0,189,0,1858
"Candidatus.Koribacter",0,189,10,1848
"Candidatus.Kuenenia",0,189,0,1858
"Candidatus.Mancarchaeum",0,189,0,1858
"Candidatus.Methanoliparum",0,189,0,1858
"Candidatus.Methanomethylophilus",1,188,1,1857
"Candidatus.Methanoplasma",0,189,0,1858
"Candidatus.Methylopumilus",0,189,0,1858
"Candidatus.Methylospira",0,189,0,1858
"Candidatus.Micrarchaeum",0,189,0,1858
"Candidatus.Midichloria",0,189,0,1858
"Candidatus.Mikella",0,189,0,1858
"Candidatus.Minimicrobia",0,189,16,1842
"Candidatus.Moranella",0,189,0,1858
"Candidatus.Mycosynbacter",0,189,0,1858
"Candidatus.Nanohalobium",0,189,0,1858
"Candidatus.Nanopelagicus",0,189,0,1858
"Candidatus.Nanosynbacter",0,189,21,1837
"Candidatus.Nardonella",1,188,3,1855
"Candidatus.Neoehrlichia",0,189,0,1858
"Candidatus.Nesciobacter",0,189,0,1858
"Candidatus.Nitrosacidococcus",0,189,0,1858
"Candidatus.Nitrosocaldus",0,189,0,1858
"Candidatus.Nitrosocosmicus",0,189,0,1858
"Candidatus.Nitrosoglobus",0,189,0,1858
"Candidatus.Nitrosomarinus",0,189,0,1858
"Candidatus.Nitrosopelagicus",0,189,0,1858
"Candidatus.Nitrosotenuis",0,189,0,1858
"Candidatus.Nitrotoga",0,189,1,1857
"Candidatus.Nucleicultrix",0,189,0,1858
"Candidatus.Paracaedibacter",0,189,0,1858
"Candidatus.Pelagibacter",0,189,0,1858
"Candidatus.Pelagisphaera",1,188,278,1580
"Candidatus.Phycorickettsia",0,189,1,1857
"Candidatus.Phytoplasma",3,186,43,1815
"Candidatus.Planktophila",0,189,1,1857
"Candidatus.Portiera",0,189,0,1858
"Candidatus.Profftella",0,189,0,1858
"Candidatus.Profftia",0,189,0,1858
"Candidatus.Prometheoarchaeum",0,189,0,1858
"Candidatus.Promineifilum",0,189,1,1857
"Candidatus.Protochlamydia",0,189,0,1858
"Candidatus.Pseudothioglobus",0,189,0,1858
"Candidatus.Puniceispirillum",0,189,0,1858
"Candidatus.Purcelliella",3,186,53,1805
"Candidatus.Reidiella",0,189,0,1858
"Candidatus.Rhabdochlamydia",0,189,0,1858
"Candidatus.Riesia",0,189,0,1858
"Candidatus.Ruthturnera",0,189,0,1858
"Candidatus.Saccharimonas",0,189,0,1858
"Candidatus.Schneideria",0,189,0,1858
"Candidatus.Steffania",0,189,0,1858
"Candidatus.Sulfidibacterium",0,189,2,1856
"Candidatus.Symbiobacter",0,189,4,1854
"Candidatus.Syntrophocurvum",0,189,0,1858
"Candidatus.Tachikawaea",0,189,0,1858
"Candidatus.Thioglobus",0,189,0,1858
"Candidatus.Uabimicrobium",0,189,0,1858
"Candidatus.Vallotia",0,189,1,1857
"Candidatus.Velamenicoccus",0,189,1,1857
"Candidatus.Vesicomyosocius",0,189,0,1858
"Candidatus.Viadribacter",0,189,2,1856
"Candidatus.Walczuchella",0,189,1,1857
"Candidatus.Westeberhardia",0,189,0,1858
"Candidatus.Xiphinematobacter",0,189,0,1858
"Canhaevirus",2,187,0,1858
"Capillimicrobium",0,189,2,1856
"Capillovirus",0,189,0,1858
"Capnocytophaga",6,183,147,1711
"Capripoxvirus",0,189,0,1858
"Caproicibacter",1,188,2,1856
"Caproicibacterium",3,186,7,1851
"Caproiciproducens",1,188,3,1855
"Capsulimonas",0,189,7,1851
"Captovirus",0,189,0,1858
"Capulavirus",0,189,0,1858
"Carboxydocella",0,189,1,1857
"Carboxydothermus",0,189,0,1858
"Cardiobacterium",0,189,25,1833
"Cardiovirus",0,189,0,1858
"Carjivirus",13,176,1,1857
"Carlavirus",0,189,0,1858
"Carltongylesvirus",0,189,0,1858
"Carmovirus",0,189,0,1858
"Carnimonas",0,189,0,1858
"Carnobacterium",1,188,7,1851
"Caroctavirus",0,189,0,1858
"Casadabanvirus",0,189,0,1858
"Casaltella",0,189,0,1858
"Casimicrobium",0,189,14,1844
"Castellaniella",0,189,31,1827
"Catabacter",0,189,0,1858
"Catalinimonas",0,189,0,1858
"Catellatospora",0,189,0,1858
"Catellicoccus",0,189,0,1858
"Catelliglobosispora",0,189,0,1858
"Catenibacterium",12,177,10,1848
"Catenovulum",0,189,1,1857
"Catenulispora",0,189,0,1858
"Catenuloplanes",0,189,0,1858
"Catonella",0,189,0,1858
"Caulimovirus",0,189,0,1858
"Cavemovirus",0,189,0,1858
"Cbastvirus",0,189,0,1858
"Cbunavirus",0,189,0,1858
"Cecembia",0,189,0,1858
"Cecivirus",0,189,0,1858
"Cedecea",0,189,4,1854
"Ceduovirus",0,189,2,1856
"Ceetrepovirus",0,189,0,1858
"Celeribacter",0,189,12,1846
"Celerinatantimonas",0,189,0,1858
"Cellubavirus",0,189,0,1858
"Cellulomonas",8,181,47,1811
"Cellulophaga",0,189,3,1855
"Cellulosilyticum",0,189,3,1855
"Cellulosimicrobium",1,188,40,1818
"Cellvibrio",0,189,3,1855
"Cenphatecvirus",33,156,725,1133
"Centapoxvirus",0,189,0,1858
"Centipeda",0,189,0,1858
"Cephaloticoccus",0,189,0,1858
"Cepunavirus",0,189,0,1858
"Cequinquevirus",0,189,0,1858
"Cereibacter",0,189,19,1839
"Certrevirus",0,189,0,1858
"Cervidpoxvirus",0,189,0,1858
"Cesiribacter",0,189,0,1858
"Cetobacterium",0,189,2,1856
"Chakrabartyvirus",0,189,0,1858
"Chamaesiphon",0,189,0,1858
"Changchengzhania",0,189,0,1858
"Changpingibacter",0,189,0,1858
"Chania",0,189,1,1857
"Chaphamaparvovirus",0,189,0,1858
"Charlielikevirus",0,189,0,1858
"Charlievirus",0,189,0,1858
"Charybdisvirus",0,189,0,1858
"Che8likevirus",0,189,0,1858
"Che9clikevirus",0,189,0,1858
"Chelativorans",0,189,19,1839
"Chelatococcus",0,189,21,1837
"Chelonobacter",0,189,0,1858
"Chenggangzhangella",0,189,16,1842
"Chenonavirus",0,189,0,1858
"Cheoctovirus",0,189,0,1858
"Cheravirus",0,189,0,1858
"Chiangmaivirus",0,189,0,1858
"Chilikevirus",0,189,0,1858
"Chirohepevirus",0,189,0,1858
"Chitinibacter",0,189,11,1847
"Chitinilyticum",0,189,0,1858
"Chitinimonas",1,188,27,1831
"Chitiniphilus",0,189,7,1851
"Chitinispirillum",0,189,0,1858
"Chitinivibrio",0,189,0,1858
"Chitinolyticbacter",0,189,14,1844
"Chitinophaga",7,182,52,1806
"Chitorquevirus",0,189,0,1858
"Chivirus",0,189,1,1857
"Chlamydia",0,189,0,1858
"Chlamydiifrater",0,189,1,1857
"Chloracidobacterium",0,189,1,1857
"Chloriridovirus",0,189,0,1858
"Chlorobaculum",0,189,6,1852
"Chlorobium",0,189,2,1856
"Chloroflexus",0,189,2,1856
"Chlorogloeopsis",0,189,0,1858
"Chloroherpeton",0,189,3,1855
"Chlorovirus",0,189,0,1858
"Chondrinema",0,189,0,1858
"Chondrocystis",0,189,0,1858
"Chondromyces",0,189,2,1856
"Chopinvirus",0,189,0,1858
"Chordicoccus",4,185,11,1847
"Christensenella",10,179,5,1853
"Christiangramia",0,189,3,1855
"Chromobacterium",5,184,36,1822
"Chromohalobacter",0,189,3,1855
"Chroococcidiopsis",0,189,0,1858
"Chryseolinea",0,189,1,1857
"Chrysiogenes",0,189,0,1858
"Chrysovirus",0,189,0,1858
"Chthoniobacter",0,189,0,1858
"Chthonomonas",0,189,0,1858
"Chuhaivirus",0,189,0,1858
"Chunghsingvirus",0,189,0,1858
"Ciceribacter",0,189,8,1850
"Cilevirus",0,189,0,1858
"Cimandefvirus",0,189,0,1858
"Circovirus",0,189,0,1858
"Citreicella",0,189,0,1858
"Citricoccus",0,189,3,1855
"Citrifermentans",0,189,2,1856
"Citrobacter",74,115,207,1651
"Citromicrobium",0,189,15,1843
"Cjwunalikevirus",0,189,0,1858
"Claudivirus",0,189,0,1858
"Clavibacter",1,188,6,1852
"Clecrusatellite",0,189,0,1858
"Cloacibacillus",5,184,3,1855
"Cloacibacterium",12,177,21,1837
"Closterovirus",0,189,0,1858
"Clostridioides",47,142,25,1833
"Clostridium",75,114,295,1563
"Cnuibacter",0,189,5,1853
"Cobetia",0,189,10,1848
"Cocadviroid",0,189,0,1858
"Coccolithovirus",0,189,0,1858
"Cognaticolwellia",0,189,0,1858
"Cognatishimia",0,189,12,1846
"Coguvirus",0,189,0,1858
"Cohcovirus",4,185,0,1858
"Cohnella",59,130,926,932
"Colecusatellite",0,189,0,1858
"Coleofasciculus",0,189,0,1858
"Coleviroid",0,189,0,1858
"Collimonas",0,189,34,1824
"Collinsella",88,101,21,1837
"Colneyvirus",0,189,0,1858
"Colossusvirus",0,189,0,1858
"Coltivirus",0,189,0,1858
"Colwellia",0,189,1,1857
"Commensalibacter",0,189,1,1857
"Comovirus",0,189,0,1858
"Companilactobacillus",0,189,4,1854
"Conchiformibius",0,189,4,1854
"Conexibacter",0,189,2,1856
"Conexivisphaera",0,189,0,1858
"Confluentimicrobium",0,189,0,1858
"Congregibacter",0,189,0,1858
"Constantimarinum",0,189,0,1858
"Coopervirus",0,189,0,1858
"Copernicusvirus",0,189,0,1858
"Copiparvovirus",0,189,0,1858
"Coprobacillus",0,189,0,1858
"Coprobacter",43,146,6,1852
"Coprococcus",80,109,16,1842
"Coprothermobacter",0,189,0,1858
"Coraliomargarita",0,189,0,1858
"Corallococcus",1,188,17,1841
"Coriobacterium",0,189,2,1856
"Corndoglikevirus",0,189,0,1858
"Cornellvirus",0,189,0,1858
"Corticovirus",0,189,0,1858
"Cosavirus",0,189,0,1858
"Cosenzaea",0,189,0,1858
"Costertonia",0,189,0,1858
"Couchioplanes",0,189,1,1857
"Coxiella",0,189,0,1858
"Cp220likevirus",0,189,0,1858
"Cp8unalikevirus",0,189,0,1858
"Crassaminicella",1,188,8,1850
"Crenobacter",0,189,0,1858
"Criblamydia",0,189,0,1858
"Crinalium",0,189,1,1857
"Crinivirus",0,189,0,1858
"Cripavirus",0,189,0,1858
"Croceibacter",0,189,0,1858
"Croceibacterium",0,189,12,1846
"Croceicoccus",0,189,40,1818
"Croceimicrobium",0,189,0,1858
"Croceitalea",0,189,0,1858
"Crocinitomix",0,189,0,1858
"Crocodylidpoxvirus",0,189,0,1858
"Crocosphaera",0,189,0,1858
"Crohivirus",0,189,0,1858
"Cronobacter",0,189,9,1849
"Cronusvirus",0,189,0,1858
"Crossiella",0,189,0,1858
"Cruoricaptor",6,183,11,1847
"Cryobacterium",0,189,8,1850
"Cryocola",0,189,0,1858
"Cryptobacterium",0,189,4,1854
"Cryptosporangium",0,189,0,1858
"Cucumibacter",0,189,0,1858
"Cucumovirus",0,189,0,1858
"Culoivirus",0,189,0,1858
"Cuniculiplasma",0,189,0,1858
"Curtovirus",0,189,0,1858
"Cutibacterium",176,13,1414,444
"Cyanobacterium",0,189,0,1858
"Cyanobium",0,189,1,1857
"Cyanothece",0,189,0,1858
"Cybitervirus",0,189,0,1858
"Cyclobacterium",0,189,0,1858
"Cycloclasticus",0,189,0,1858
"Cyclonatronum",0,189,0,1858
"Cyclovirus",0,189,0,1858
"Cylindrospermopsis",0,189,0,1858
"Cylindrospermum",0,189,0,1858
"Cypovirus",0,189,0,1858
"Cyprinivirus",0,189,0,1858
"Cysteiniphilum",0,189,0,1858
"Cystobacter",1,188,24,1834
"Cytobacillus",0,189,3,1855
"Cytomegalovirus",0,189,0,1858
"Cytophaga",0,189,0,1858
"Cytorhabdovirus",0,189,0,1858
"Cyvirus",0,189,1,1857
"D3likevirus",0,189,0,1858
"Dabirmavirus",0,189,0,1858
"Dactylococcopsis",0,189,0,1858
"Dactylosporangium",0,189,17,1841
"Dasania",0,189,0,1858
"Dechloromonas",3,186,50,1808
"Dechshavirus",0,189,0,1858
"Deefgea",0,189,2,1856
"Deferribacter",0,189,0,1858
"Deferrisoma",0,189,0,1858
"Defluviicoccus",0,189,14,1844
"Defluviimonas",0,189,0,1858
"Defluviitoga",0,189,0,1858
"Dehalobacter",0,189,0,1858
"Dehalobacterium",0,189,0,1858
"Dehalococcoides",1,188,3,1855
"Dehalogenimonas",0,189,2,1856
"Delepquintavirus",0,189,0,1858
"Delmidovirus",0,189,0,1858
"Deltabaculovirus",0,189,0,1858
"Deltacoronavirus",0,189,0,1858
"Deltaentomopoxvirus",0,189,0,1858
"Deltaflexivirus",0,189,0,1858
"Deltalipothrixvirus",0,189,0,1858
"Deltanudivirus",0,189,0,1858
"Deltapapillomavirus",0,189,0,1858
"Deltapolyomavirus",0,189,0,1858
"Deltaretrovirus",0,189,0,1858
"Deltasatellite",0,189,0,1858
"Deltascleroulivirus",0,189,0,1858
"Delusorvirus",0,189,0,1858
"Demequina",0,189,0,1858
"Demetria",0,189,0,1858
"Demosthenesvirus",0,189,0,1858
"Dendoorenvirus",0,189,0,1858
"Denitratisoma",0,189,23,1835
"Denitrificimonas",0,189,2,1856
"Denitrobacterium",1,188,1,1857
"Denitrovibrio",0,189,0,1858
"Denvervirus",0,189,0,1858
"Dependoparvovirus",0,189,0,1858
"Derbicusvirus",0,189,0,1858
"Dermabacter",0,189,18,1840
"Dermacoccus",1,188,34,1824
"Dermatophilus",0,189,0,1858
"Derxia",0,189,0,1858
"Desemzia",1,188,0,1858
"Deseoctovirus",0,189,0,1858
"Desmospora",0,189,0,1858
"Desulfarculus",0,189,8,1850
"Desulfatibacillum",0,189,0,1858
"Desulfatiglans",0,189,0,1858
"Desulfatirhabdium",0,189,0,1858
"Desulfatitalea",0,189,0,1858
"Desulfitibacter",0,189,0,1858
"Desulfitobacterium",0,189,5,1853
"Desulfobacca",0,189,0,1858
"Desulfobacter",0,189,0,1858
"Desulfobacterium",0,189,0,1858
"Desulfobacula",0,189,0,1858
"Desulfobulbus",1,188,10,1848
"Desulfocapsa",0,189,1,1857
"Desulfocarbo",0,189,0,1858
"Desulfococcus",0,189,2,1856
"Desulfocurvibacter",0,189,4,1854
"Desulfocurvus",0,189,0,1858
"Desulfofarcimen",0,189,1,1857
"Desulfofustis",0,189,1,1857
"Desulfoglaeba",0,189,0,1858
"Desulfohalobium",0,189,1,1857
"Desulfolithobacter",0,189,0,1858
"Desulfoluna",0,189,0,1858
"Desulfolutivibrio",0,189,2,1856
"Desulfomarina",0,189,0,1858
"Desulfomicrobium",1,188,6,1852
"Desulfomonile",0,189,0,1858
"Desulfonatronospira",0,189,0,1858
"Desulfonatronovibrio",0,189,0,1858
"Desulfonatronum",0,189,0,1858
"KnightID",189,0,1858,0
"primary_site",189,0,1858,0
"X3alikevirus",0,189,0,1858
